"filename", "language", "C#", "XML", "GLSL", "", "Ini", "comment", "blank", "total"
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Final.ConsoleApplication.csproj", "XML", 0, 12, 0, 0, 0, 0, 5, 17
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Program.cs", "C#", 25, 0, 0, 0, 0, 0, 5, 30
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Shaders\GuiWindowFrag.glsl", "GLSL", 0, 0, 6, 0, 0, 0, 2, 8
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Shaders\GuiWindowVert.glsl", "GLSL", 0, 0, 9, 0, 0, 0, 3, 12
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Shaders\basicFrag.glsl", "GLSL", 0, 0, 13, 0, 0, 0, 4, 17
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Shaders\basicLightingFrag.glsl", "GLSL", 0, 0, 43, 0, 0, 3, 13, 59
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Shaders\basicLightingVert.glsl", "GLSL", 0, 0, 15, 0, 0, 0, 5, 20
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Shaders\basicVert.glsl", "GLSL", 0, 0, 11, 0, 0, 0, 3, 14
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\TextFiles\help.txt", "", 0, 0, 0, 6, 0, 0, 1, 7
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\Window.cs", "C#", 192, 0, 0, 0, 0, 0, 35, 227
"c:\CS1410-1415\cs1410.final\Final.ConsoleApplication\imgui.ini", "Ini", 0, 0, 0, 0, 40, 0, 11, 51
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\Component.cs", "C#", 9, 0, 0, 0, 0, 0, 1, 10
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\ComponentManager.cs", "C#", 137, 0, 0, 0, 0, 0, 17, 154
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\LightComponent.cs", "C#", 19, 0, 0, 0, 0, 0, 3, 22
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\MaterialComponent.cs", "C#", 19, 0, 0, 0, 0, 0, 2, 21
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\RenderComponent.cs", "C#", 42, 0, 0, 0, 0, 0, 11, 53
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\RotationComponent.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\ScaleComponent.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\ShaderComponent.cs", "C#", 18, 0, 0, 0, 0, 0, 3, 21
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\TransformComponent.cs", "C#", 16, 0, 0, 0, 0, 0, 2, 18
"c:\CS1410-1415\cs1410.final\Final.Logic\Components\TranslateComponent.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"c:\CS1410-1415\cs1410.final\Final.Logic\Entities\Camera.cs", "C#", 98, 0, 0, 0, 0, 0, 17, 115
"c:\CS1410-1415\cs1410.final\Final.Logic\Entities\Cube.cs", "C#", 20, 0, 0, 0, 0, 0, 3, 23
"c:\CS1410-1415\cs1410.final\Final.Logic\Entities\Entity.cs", "C#", 40, 0, 0, 0, 0, 0, 6, 46
"c:\CS1410-1415\cs1410.final\Final.Logic\Entities\EntityManager.cs", "C#", 26, 0, 0, 0, 0, 0, 6, 32
"c:\CS1410-1415\cs1410.final\Final.Logic\Entities\EntityState.cs", "C#", 8, 0, 0, 0, 0, 0, 1, 9
"c:\CS1410-1415\cs1410.final\Final.Logic\Entities\LightCube.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"c:\CS1410-1415\cs1410.final\Final.Logic\Final.Logic.csproj", "XML", 0, 15, 0, 0, 0, 0, 0, 15
"c:\CS1410-1415\cs1410.final\Final.Logic\Mesh.cs", "C#", 92, 0, 0, 0, 0, 0, 21, 113
"c:\CS1410-1415\cs1410.final\Final.Logic\Model.cs", "C#", 90, 0, 0, 0, 0, 3, 14, 107
"c:\CS1410-1415\cs1410.final\Final.Logic\MyRef.cs", "C#", 22, 0, 0, 0, 0, 0, 3, 25
"c:\CS1410-1415\cs1410.final\Final.Logic\SceneViewerLogic.cs", "C#", 147, 0, 0, 0, 0, 0, 17, 164
"c:\CS1410-1415\cs1410.final\Final.Logic\Texture.cs", "C#", 27, 0, 0, 0, 0, 0, 2, 29
"c:\CS1410-1415\cs1410.final\Final.Logic\Uniform.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"c:\CS1410-1415\cs1410.final\Final.Logic\Vertex.cs", "C#", 22, 0, 0, 0, 0, 0, 3, 25
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\IImguiWidget.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 7
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\ImGuiWidget.cs", "C#", 61, 0, 0, 0, 0, 0, 9, 70
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\LightWidget.cs", "C#", 27, 0, 0, 0, 0, 0, 4, 31
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\MaterialWidget.cs", "C#", 210, 0, 0, 0, 0, 0, 7, 217
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\RenderWidget.cs", "C#", 62, 0, 0, 0, 0, 0, 5, 67
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\ShaderWidget.cs", "C#", 54, 0, 0, 0, 0, 0, 3, 57
"c:\CS1410-1415\cs1410.final\Final.Logic\Widgets\TransformWidget.cs", "C#", 31, 0, 0, 0, 0, 0, 6, 37
"c:\CS1410-1415\cs1410.final\Final.Tests\Final.Tests.csproj", "XML", 0, 14, 0, 0, 0, 0, 6, 20
"c:\CS1410-1415\cs1410.final\Final.Tests\LogicTest.cs", "C#", 95, 0, 0, 0, 0, 0, 28, 123
"c:\CS1410-1415\cs1410.final\ImGui\ImGui.csproj", "XML", 0, 10, 0, 0, 0, 0, 4, 14
"c:\CS1410-1415\cs1410.final\ImGui\ImGuiController.cs", "C#", 317, 0, 0, 0, 0, 29, 71, 417
"c:\CS1410-1415\cs1410.final\ImGui\Shader.cs", "C#", 117, 0, 0, 0, 0, 0, 25, 142
"c:\CS1410-1415\cs1410.final\ImGui\Texture.cs", "C#", 120, 0, 0, 0, 0, 3, 31, 154
"c:\CS1410-1415\cs1410.final\ImGui\Util.cs", "C#", 68, 0, 0, 0, 0, 0, 10, 78
"Total", "-", 2300, 51, 97, 6, 40, 38, 438, 2970